schemaVersion,source.name,source.url,collectedAt,recordType,content.company,content.date,content.is_remote,content.role_family,content.title
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/tripadvisor/software-engineer-ii-london-45542,2026-08-26T14:11:10.097943Z,JOB,Tripadvisor,2026-08-26T06:55:07Z,False,,Software Engineer II
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/faculty/customer-director-safety-london-63388,2026-08-26T14:11:10.098991Z,JOB,Faculty,2026-08-26T06:40:38Z,False,,Customer Director (Safety)
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/faculty/senior-data-scientist-safety-london-281067,2026-08-26T14:11:10.099322Z,JOB,Faculty,2026-08-26T06:40:38Z,False,,Senior Data Scientist (Safety)
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/langchain/solution-architect-london-256631,2026-08-26T14:11:10.099649Z,JOB,LangChain,2026-08-26T06:40:31Z,False,,Solution Architect (London)
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/heidi/gtm-london-432879,2026-08-26T14:11:10.100696Z,JOB,Heidi,2026-08-26T06:40:26Z,False,,GTM
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/ogilvy/influence-account-director-london-367015,2026-08-26T14:11:10.101932Z,JOB,Ogilvy,2026-08-26T03:55:24Z,False,,Influence Account Director
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/gitlab/remote-staff-backend-engineer-developer-experience-279537,2026-08-26T14:11:10.102362Z,JOB,Gitlab,2026-08-26T03:55:09Z,False,,"Staff Backend Engineer, Developer Experience"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/diligentcorporation/senior-hr-business-partner-london-118137,2026-08-26T14:11:10.103520Z,JOB,Diligentcorporation,2026-08-26T03:55:07Z,False,,Senior HR Business Partner
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/diligentcorporation/account-director-london-168277,2026-08-26T14:11:10.103882Z,JOB,Diligentcorporation,2026-08-26T03:55:07Z,False,,Account Director
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/kyra/senior-client-success-manager-influencer-marketing-freelance-uk-387529,2026-08-26T14:11:10.104937Z,JOB,Kyra,2026-08-26T03:40:34Z,False,,Senior Client Success Manager - Influencer Marketing (Freelance) | UK
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/synthesia/marketing-general-application-london-28316,2026-08-26T14:11:10.105258Z,JOB,Synthesia,2026-08-26T03:40:28Z,False,,Marketing General Application
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/camunda/remote-principal-product-manager-time-to-first-production-448791,2026-08-26T14:11:10.106480Z,JOB,Camunda,2026-08-26T03:40:24Z,False,,Principal Product Manager- Time to First Production
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/camunda/remote-software-engineer-backend-data-layer-315999,2026-08-26T14:11:10.106918Z,JOB,Camunda,2026-08-26T03:40:24Z,False,,"Software Engineer, Backend - Data Layer"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/camunda/remote-senior-manager-qa-engineering-476931,2026-08-26T14:11:10.107306Z,JOB,Camunda,2026-08-26T03:40:24Z,False,,"Senior Manager, QA Engineering"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/databricks/sr-solutions-engineer-london-480765,2026-08-26T14:11:10.107658Z,JOB,Databricks,2026-08-26T00:55:37Z,False,,Sr. Solutions Engineer
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/mozilla/senior-product-manager-mobile-345952,2026-08-26T14:11:10.108694Z,JOB,Mozilla,2026-08-26T00:55:23Z,False,,"Senior Product Manager, Mobile"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/chainguard/senior-manager-customer-success-management-emea-apj-456935,2026-08-26T14:11:10.109879Z,JOB,Chainguard,2026-08-26T00:55:23Z,False,,"Senior Manager, Customer Success Management - EMEA/APJ"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/nearform/senior-software-engineer-golang-118246,2026-08-26T14:11:10.111037Z,JOB,Nearform,2026-08-26T00:55:22Z,False,,Senior Software Engineer - Golang
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wppmedia/senior-associate-social-uk-london-365367,2026-08-26T14:11:10.111355Z,JOB,Wppmedia,2026-08-26T00:55:20Z,False,,"Senior Associate, Social, UK"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wppmedia/senior-associate-social-uk-london-232990,2026-08-26T14:11:10.111680Z,JOB,Wppmedia,2026-08-26T00:55:20Z,False,,"Senior Associate, Social, UK"
