schemaVersion,source.name,source.url,collectedAt,recordType,content.entityName,content.data.employeeCount
1.0,Y Combinator,https://www.ycombinator.com/companies/touchy,2026-08-26T14:11:08.693071Z,STARTUP,Touchy,3
1.0,Y Combinator,https://www.ycombinator.com/companies/derya,2026-08-26T14:11:08.694010Z,STARTUP,Derya,2
1.0,Y Combinator,https://www.ycombinator.com/companies/pennant,2026-08-26T14:11:08.694912Z,STARTUP,Pennant,2
1.0,Y Combinator,https://www.ycombinator.com/companies/decawork,2026-08-26T14:11:08.695856Z,STARTUP,Decawork,2
1.0,Y Combinator,https://www.ycombinator.com/companies/carsignal,2026-08-26T14:11:08.696836Z,STARTUP,Carsignal,2
1.0,Y Combinator,https://www.ycombinator.com/companies/axelrod,2026-08-26T14:11:08.697890Z,STARTUP,Axelrod,2
1.0,Y Combinator,https://www.ycombinator.com/companies/levocred-ai,2026-08-26T14:11:08.698853Z,STARTUP,Levocred,2
1.0,Y Combinator,https://www.ycombinator.com/companies/praxis-robotics,2026-08-26T14:11:08.699837Z,STARTUP,Praxis Robotics,3
1.0,Y Combinator,https://www.ycombinator.com/companies/care-gp,2026-08-26T14:11:08.700790Z,STARTUP,Care Gp,10
1.0,Y Combinator,https://www.ycombinator.com/companies/radley,2026-08-26T14:11:08.701783Z,STARTUP,Radley,2
1.0,Y Combinator,https://www.ycombinator.com/companies/agnost-ai,2026-08-26T14:11:08.702723Z,STARTUP,Agnost,2
1.0,Y Combinator,https://www.ycombinator.com/companies/agentcard,2026-08-26T14:11:08.703573Z,STARTUP,Agentcard,0
1.0,Y Combinator,https://www.ycombinator.com/companies/provenmetal,2026-08-26T14:11:08.704446Z,STARTUP,Provenmetal,4
1.0,Y Combinator,https://www.ycombinator.com/companies/gamgee,2026-08-26T14:11:08.705389Z,STARTUP,Gamgee,2
1.0,Y Combinator,https://www.ycombinator.com/companies/inkbox,2026-08-26T14:11:08.706312Z,STARTUP,Inkbox,3
