schemaVersion,source.name,source.url,collectedAt,recordType,content.startupName,content.pricingModel
1.0,Y Combinator,https://www.ycombinator.com/companies/tryprism,2026-08-26T14:11:09.385371Z,PRODUCT,Prism,
1.0,Y Combinator,https://www.ycombinator.com/companies/aside,2026-08-26T14:11:09.386588Z,PRODUCT,Aside,
1.0,Y Combinator,https://www.ycombinator.com/companies/scott-ai,2026-08-26T14:11:09.387965Z,PRODUCT,Scott,
1.0,Y Combinator,https://www.ycombinator.com/companies/everest,2026-08-26T14:11:09.389436Z,PRODUCT,Everest,
1.0,Y Combinator,https://www.ycombinator.com/companies/expected-parrot,2026-08-26T14:11:09.391197Z,PRODUCT,Parrot,
1.0,Y Combinator,https://www.ycombinator.com/companies/imagine-ai,2026-08-26T14:11:09.392518Z,PRODUCT,Imagine,
1.0,Y Combinator,https://www.ycombinator.com/companies/anto-biosciences,2026-08-26T14:11:09.393925Z,PRODUCT,Anto Biosciences,
1.0,Y Combinator,https://www.ycombinator.com/companies/patent-watch,2026-08-26T14:11:09.395308Z,PRODUCT,Patent Watch,
1.0,Y Combinator,https://www.ycombinator.com/companies/s2-dev,2026-08-26T14:11:09.396613Z,PRODUCT,S2 Dev,
1.0,Y Combinator,https://www.ycombinator.com/companies/tornyol,2026-08-26T14:11:09.397891Z,PRODUCT,Tornyol,
1.0,Y Combinator,https://www.ycombinator.com/companies/nucleo,2026-08-26T14:11:09.399217Z,PRODUCT,Nucleo,
1.0,Y Combinator,https://www.ycombinator.com/companies/leadbay,2026-08-26T14:11:09.400541Z,PRODUCT,Leadbay,
1.0,Y Combinator,https://www.ycombinator.com/companies/pixley-ai,2026-08-26T14:11:09.401876Z,PRODUCT,Pixley,
1.0,Y Combinator,https://www.ycombinator.com/companies/cortex-ai,2026-08-26T14:11:09.403249Z,PRODUCT,Cortex,
1.0,Y Combinator,https://www.ycombinator.com/companies/radiusbrowser,2026-08-26T14:11:09.404698Z,PRODUCT,Radius,
1.0,Y Combinator,https://www.ycombinator.com/companies/thesis,2026-08-26T14:11:09.406025Z,PRODUCT,Thesis,
1.0,Y Combinator,https://www.ycombinator.com/companies/oxus,2026-08-26T14:11:09.407250Z,PRODUCT,Oxus,
1.0,Y Combinator,https://www.ycombinator.com/companies/play-health,2026-08-26T14:11:09.408587Z,PRODUCT,Play Health,
1.0,Y Combinator,https://www.ycombinator.com/companies/casey,2026-08-26T14:11:09.409808Z,PRODUCT,Casey,
1.0,Y Combinator,https://www.ycombinator.com/companies/selfin,2026-08-26T14:11:09.411127Z,PRODUCT,Selfin,
1.0,Y Combinator,https://www.ycombinator.com/companies/compyle,2026-08-26T14:11:09.412525Z,PRODUCT,Compyle,
1.0,Y Combinator,https://www.ycombinator.com/companies/lexi,2026-08-26T14:11:09.413810Z,PRODUCT,Lexi,
1.0,Y Combinator,https://www.ycombinator.com/companies/codyco,2026-08-26T14:11:09.415054Z,PRODUCT,Codyco,
1.0,Y Combinator,https://www.ycombinator.com/companies/complydo,2026-08-26T14:11:09.416330Z,PRODUCT,Complydo,
1.0,Y Combinator,https://www.ycombinator.com/companies/bravi,2026-08-26T14:11:09.417579Z,PRODUCT,Bravi,
1.0,Y Combinator,https://www.ycombinator.com/companies/finaldose,2026-08-26T14:11:09.418834Z,PRODUCT,Finaldose,
1.0,Y Combinator,https://www.ycombinator.com/companies/sunflower,2026-08-26T14:11:09.420126Z,PRODUCT,Sunflower,
1.0,Y Combinator,https://www.ycombinator.com/companies/captain,2026-08-26T14:11:09.421420Z,PRODUCT,Captain,
1.0,Y Combinator,https://www.ycombinator.com/companies/redapto,2026-08-26T14:11:09.422671Z,PRODUCT,Redapto,
1.0,Y Combinator,https://www.ycombinator.com/companies/helonic,2026-08-26T14:11:09.423884Z,PRODUCT,Helonic,
1.0,Y Combinator,https://www.ycombinator.com/companies/aleph-lab,2026-08-26T14:11:09.425269Z,PRODUCT,Aleph Lab,
1.0,Y Combinator,https://www.ycombinator.com/companies/logical,2026-08-26T14:11:09.426607Z,PRODUCT,Logical,
